name: PyTrajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m

0.940   -> 22.644860245404548 -0.015310733074656451 1999.617282723413
0.950   -> 22.875160708360877 -0.015738545899036168 1999.6071225793783
0.960   -> 23.105351807218934 -0.01616395543306843 1999.5962268625926
0.970   -> 23.335434642969087 -0.01658678574917401 1999.5845838702041
0.980   -> 23.565410120124408 -0.01700687985195961 1999.5721831897893
0.990   -> 23.795278977639896 -0.017424100160665423 1999.5590156933854
1.000   -> 24.025041819175353 -0.017838328976551576 1999.5450735276804
1.010   -> 24.254699142406462 -0.018249468936090658 1999.5303501006706
1.020   -> 24.484251367126017 -0.01865744345098153 1999.5148400651124
1.030   -> 24.713698861914654 -0.019062197136110716 1999.4985392990932
1.040   -> 24.94304196919709 -0.01946369622665814 1999.4814448840484
1.050   -> 25.17228102853511 -0.019861928985571188 1999.4635550805444
1.060   -> 25.401416398042024 -0.020256906102613752 1999.4448693021372
1.070   -> 25.630448473834463 -0.020648661086134886 1999.425388087603
1.080   -> 25.85937770746611 -0.021037250648595886 1999.4051130718233
1.090   -> 26.088204621313775 -0.021422755086746594 1999.3840469555814
1.100   -> 26.316929821909476 -0.021805278657153523 1999.3621934745147
1.110   -> 26.545554011232333 -0.022184949947556844 1999.3395573674343
1.120   -> 26.774077995991693 -0.022561922244273037 1999.3161443442104
1.130   -> 27.00250269494761 -0.022936373895568123 1999.2919610533888
1.140   -> 27.230829144327252 -0.023308508670605913 1999.2670150496826
1.150   -> 27.459058501405735 -0.02367855611322963 1999.2413147614636
1.160   -> 27.68719204632786 -0.02404677188946656 1999.2148694583443
1.170   -> 27.915231182253347 -0.024413438127256826 1999.1876892189287
1.180   -> 28.143177433912683 -0.024778863746502098 1999.1597848987815
1.190   -> 28.371032444663832 -0.02514338477711051 1999.1311680986507
1.200   -> 28.59879797214224 -0.025507364662283462 1999.101851132952
1.210   -> 28.826475882597713 -0.02587119454385111 1999.0718469985156
1.220   -> 29.054068144012394 -0.02623529352601965 1999.041169343571
1.230   -> 29.28157681809416 -0.02660010891344831 1999.00983243694
